group	date	value
minor	2001-11	0
minor	2002-01	0
minor	2002-02	0
minor	2002-03	1
minor	2002-08	0
minor	2002-11	0
minor	2003-01	0
minor	2003-02	0
minor	2003-03	0
minor	2003-04	0
minor	2003-05	0
minor	2003-06	0
minor	2003-07	0
minor	2003-08	0
minor	2003-09	0
minor	2003-10	0
minor	2003-11	0
minor	2003-12	0
minor	2004-01	0
minor	2004-02	1
minor	2004-03	1
minor	2004-04	0
minor	2004-05	0
minor	2004-06	0
minor	2004-07	0
minor	2004-08	1
minor	2004-10	1
minor	2004-11	2
minor	2004-12	0
minor	2005-01	1
minor	2005-02	0
minor	2005-03	1
minor	2005-04	0
minor	2005-05	1
minor	2005-06	0
minor	2005-07	2
minor	2005-08	1
minor	2005-09	0
minor	2005-10	2
minor	2005-11	0
minor	2005-12	3
minor	2006-01	0
minor	2006-02	1
minor	2006-03	1
minor	2006-04	2
minor	2006-05	1
minor	2006-06	1
minor	2006-07	5
minor	2006-08	2
minor	2006-09	6
minor	2006-10	4
minor	2006-11	7
minor	2006-12	7
minor	2007-01	1
minor	2007-02	1
minor	2007-03	0
minor	2007-04	0
minor	2007-05	1
minor	2007-06	3
minor	2007-07	0
minor	2007-08	1
minor	2007-09	4
minor	2007-10	0
minor	2007-11	0
minor	2007-12	1
minor	2008-01	1
minor	2008-02	0
minor	2008-03	1
minor	2008-04	0
minor	2008-05	2
minor	2008-06	4
minor	2008-07	4
minor	2008-08	2
minor	2008-09	0
minor	2008-10	1
minor	2008-11	0
minor	2008-12	0
minor	2009-01	0
minor	2009-02	0
minor	2009-03	0
minor	2009-04	1
minor	2009-05	2
minor	2009-06	0
minor	2009-07	2
minor	2009-08	0
minor	2009-09	1
minor	2009-10	0
minor	2009-11	1
minor	2009-12	0
minor	2010-01	0
minor	2010-02	0
minor	2010-03	2
minor	2010-04	5
minor	2010-05	2
minor	2010-06	0
minor	2010-07	0
minor	2010-08	0
minor	2010-09	1
minor	2010-10	2
minor	2010-11	1
minor	2010-12	3
minor	2011-01	2
minor	2011-02	3
minor	2011-03	1
minor	2011-04	1
minor	2011-05	1
minor	2011-06	1
minor	2011-07	1
minor	2011-08	0
minor	2011-09	0
minor	2011-10	0
minor	2011-11	1
minor	2011-12	0
minor	2012-01	2
minor	2012-02	2
minor	2012-03	2
minor	2012-04	2
minor	2012-05	0
minor	2012-06	0
minor	2012-07	1
minor	2012-08	27
minor	2012-09	9
minor	2012-10	2
minor	2012-11	0
minor	2012-12	0
minor	2013-01	0
minor	2013-02	4
minor	2013-03	2
minor	2013-04	0
minor	2013-05	9
normal	2001-11	3
normal	2002-01	4
normal	2002-02	1
normal	2002-03	2
normal	2002-08	1
normal	2002-11	1
normal	2003-01	1
normal	2003-02	1
normal	2003-03	1
normal	2003-04	3
normal	2003-05	1
normal	2003-06	1
normal	2003-07	1
normal	2003-08	1
normal	2003-09	11
normal	2003-10	1
normal	2003-11	2
normal	2003-12	1
normal	2004-01	1
normal	2004-02	5
normal	2004-03	6
normal	2004-04	6
normal	2004-05	2
normal	2004-06	3
normal	2004-07	3
normal	2004-08	6
normal	2004-10	5
normal	2004-11	9
normal	2004-12	3
normal	2005-01	11
normal	2005-02	4
normal	2005-03	7
normal	2005-04	6
normal	2005-05	32
normal	2005-06	4
normal	2005-07	30
normal	2005-08	17
normal	2005-09	6
normal	2005-10	8
normal	2005-11	17
normal	2005-12	28
normal	2006-01	14
normal	2006-02	32
normal	2006-03	15
normal	2006-04	22
normal	2006-05	20
normal	2006-06	35
normal	2006-07	29
normal	2006-08	48
normal	2006-09	66
normal	2006-10	96
normal	2006-11	29
normal	2006-12	76
normal	2007-01	34
normal	2007-02	23
normal	2007-03	33
normal	2007-04	8
normal	2007-05	69
normal	2007-06	19
normal	2007-07	33
normal	2007-08	8
normal	2007-09	32
normal	2007-10	14
normal	2007-11	6
normal	2007-12	14
normal	2008-01	0
normal	2008-02	5
normal	2008-03	18
normal	2008-04	17
normal	2008-05	18
normal	2008-06	16
normal	2008-07	5
normal	2008-08	10
normal	2008-09	3
normal	2008-10	6
normal	2008-11	4
normal	2008-12	4
normal	2009-01	4
normal	2009-02	22
normal	2009-03	4
normal	2009-04	11
normal	2009-05	27
normal	2009-06	25
normal	2009-07	19
normal	2009-08	20
normal	2009-09	13
normal	2009-10	14
normal	2009-11	5
normal	2009-12	14
normal	2010-01	7
normal	2010-02	11
normal	2010-03	9
normal	2010-04	24
normal	2010-05	17
normal	2010-06	6
normal	2010-07	2
normal	2010-08	8
normal	2010-09	1
normal	2010-10	22
normal	2010-11	5
normal	2010-12	8
normal	2011-01	36
normal	2011-02	18
normal	2011-03	12
normal	2011-04	7
normal	2011-05	17
normal	2011-06	8
normal	2011-07	6
normal	2011-08	2
normal	2011-09	3
normal	2011-10	18
normal	2011-11	2
normal	2011-12	1
normal	2012-01	4
normal	2012-02	14
normal	2012-03	23
normal	2012-04	17
normal	2012-05	5
normal	2012-06	4
normal	2012-07	26
normal	2012-08	255
normal	2012-09	73
normal	2012-10	21
normal	2012-11	6
normal	2012-12	35
normal	2013-01	12
normal	2013-02	9
normal	2013-03	15
normal	2013-04	2
normal	2013-05	138
revert	2001-11	0
revert	2002-01	0
revert	2002-02	0
revert	2002-03	0
revert	2002-08	0
revert	2002-11	0
revert	2003-01	0
revert	2003-02	0
revert	2003-03	0
revert	2003-04	0
revert	2003-05	0
revert	2003-06	0
revert	2003-07	0
revert	2003-08	0
revert	2003-09	0
revert	2003-10	0
revert	2003-11	0
revert	2003-12	0
revert	2004-01	0
revert	2004-02	0
revert	2004-03	0
revert	2004-04	0
revert	2004-05	0
revert	2004-06	1
revert	2004-07	1
revert	2004-08	0
revert	2004-10	0
revert	2004-11	0
revert	2004-12	2
revert	2005-01	0
revert	2005-02	0
revert	2005-03	3
revert	2005-04	1
revert	2005-05	0
revert	2005-06	5
revert	2005-07	0
revert	2005-08	1
revert	2005-09	1
revert	2005-10	1
revert	2005-11	1
revert	2005-12	1
revert	2006-01	3
revert	2006-02	1
revert	2006-03	9
revert	2006-04	2
revert	2006-05	5
revert	2006-06	3
revert	2006-07	2
revert	2006-08	4
revert	2006-09	2
revert	2006-10	11
revert	2006-11	12
revert	2006-12	15
revert	2007-01	7
revert	2007-02	14
revert	2007-03	10
revert	2007-04	7
revert	2007-05	11
revert	2007-06	6
revert	2007-07	6
revert	2007-08	4
revert	2007-09	8
revert	2007-10	10
revert	2007-11	6
revert	2007-12	10
revert	2008-01	11
revert	2008-02	9
revert	2008-03	11
revert	2008-04	13
revert	2008-05	11
revert	2008-06	7
revert	2008-07	6
revert	2008-08	9
revert	2008-09	0
revert	2008-10	2
revert	2008-11	1
revert	2008-12	0
revert	2009-01	0
revert	2009-02	5
revert	2009-03	13
revert	2009-04	7
revert	2009-05	11
revert	2009-06	15
revert	2009-07	2
revert	2009-08	1
revert	2009-09	11
revert	2009-10	6
revert	2009-11	9
revert	2009-12	5
revert	2010-01	6
revert	2010-02	6
revert	2010-03	4
revert	2010-04	9
revert	2010-05	6
revert	2010-06	3
revert	2010-07	4
revert	2010-08	1
revert	2010-09	5
revert	2010-10	8
revert	2010-11	3
revert	2010-12	4
revert	2011-01	2
revert	2011-02	3
revert	2011-03	4
revert	2011-04	7
revert	2011-05	1
revert	2011-06	1
revert	2011-07	7
revert	2011-08	0
revert	2011-09	3
revert	2011-10	2
revert	2011-11	4
revert	2011-12	2
revert	2012-01	4
revert	2012-02	8
revert	2012-03	5
revert	2012-04	3
revert	2012-05	6
revert	2012-06	3
revert	2012-07	3
revert	2012-08	3
revert	2012-09	2
revert	2012-10	6
revert	2012-11	1
revert	2012-12	7
revert	2013-01	2
revert	2013-02	8
revert	2013-03	5
revert	2013-04	2
revert	2013-05	10
spoil	2001-11	0
spoil	2002-01	0
spoil	2002-02	0
spoil	2002-03	0
spoil	2002-08	0
spoil	2002-11	0
spoil	2003-01	0
spoil	2003-02	0
spoil	2003-03	0
spoil	2003-04	0
spoil	2003-05	0
spoil	2003-06	0
spoil	2003-07	0
spoil	2003-08	0
spoil	2003-09	0
spoil	2003-10	0
spoil	2003-11	0
spoil	2003-12	0
spoil	2004-01	0
spoil	2004-02	0
spoil	2004-03	0
spoil	2004-04	0
spoil	2004-05	0
spoil	2004-06	1
spoil	2004-07	3
spoil	2004-08	0
spoil	2004-10	1
spoil	2004-11	0
spoil	2004-12	2
spoil	2005-01	0
spoil	2005-02	0
spoil	2005-03	4
spoil	2005-04	1
spoil	2005-05	0
spoil	2005-06	5
spoil	2005-07	0
spoil	2005-08	1
spoil	2005-09	1
spoil	2005-10	2
spoil	2005-11	6
spoil	2005-12	1
spoil	2006-01	4
spoil	2006-02	1
spoil	2006-03	12
spoil	2006-04	2
spoil	2006-05	6
spoil	2006-06	3
spoil	2006-07	6
spoil	2006-08	4
spoil	2006-09	2
spoil	2006-10	15
spoil	2006-11	43
spoil	2006-12	18
spoil	2007-01	11
spoil	2007-02	19
spoil	2007-03	17
spoil	2007-04	8
spoil	2007-05	17
spoil	2007-06	6
spoil	2007-07	12
spoil	2007-08	5
spoil	2007-09	9
spoil	2007-10	23
spoil	2007-11	8
spoil	2007-12	10
spoil	2008-01	16
spoil	2008-02	11
spoil	2008-03	15
spoil	2008-04	22
spoil	2008-05	15
spoil	2008-06	10
spoil	2008-07	7
spoil	2008-08	17
spoil	2008-09	0
spoil	2008-10	2
spoil	2008-11	1
spoil	2008-12	0
spoil	2009-01	0
spoil	2009-02	8
spoil	2009-03	18
spoil	2009-04	10
spoil	2009-05	14
spoil	2009-06	21
spoil	2009-07	5
spoil	2009-08	13
spoil	2009-09	26
spoil	2009-10	11
spoil	2009-11	11
spoil	2009-12	7
spoil	2010-01	14
spoil	2010-02	6
spoil	2010-03	6
spoil	2010-04	16
spoil	2010-05	6
spoil	2010-06	5
spoil	2010-07	3
spoil	2010-08	2
spoil	2010-09	5
spoil	2010-10	24
spoil	2010-11	3
spoil	2010-12	5
spoil	2011-01	5
spoil	2011-02	4
spoil	2011-03	7
spoil	2011-04	8
spoil	2011-05	4
spoil	2011-06	1
spoil	2011-07	13
spoil	2011-08	0
spoil	2011-09	4
spoil	2011-10	3
spoil	2011-11	5
spoil	2011-12	3
spoil	2012-01	5
spoil	2012-02	10
spoil	2012-03	7
spoil	2012-04	8
spoil	2012-05	9
spoil	2012-06	5
spoil	2012-07	3
spoil	2012-08	4
spoil	2012-09	10
spoil	2012-10	9
spoil	2012-11	4
spoil	2012-12	17
spoil	2013-01	2
spoil	2013-02	16
spoil	2013-03	7
spoil	2013-04	3
spoil	2013-05	16